Day,Number of alive animals,Number of plants on the map,Empty fields on the map,Most popular genotype,Number of most popular genome instances,Average energy level,Average lifetime for dead animals
2,35,39,555,66656,1,8,0
3,35,47,546,66656,1,8,0
4,35,55,537,66656,1,7,0
5,35,65,528,66656,1,6,0
6,35,71,526,66656,1,6,0
7,35,79,516,66656,1,6,0
8,35,88,506,66656,1,5,0
9,35,96,501,66656,1,5,0
10,35,102,493,66656,1,5,0
11,20,107,500,66656,1,11,10
12,15,114,496,66656,1,16,10
13,15,123,487,66656,1,16,10
14,14,132,479,66656,1,17,10
15,14,137,475,66656,1,19,10
16,12,144,470,66656,1,24,10
17,12,151,464,66656,1,26,10
18,12,156,459,66656,1,29,10
19,12,163,451,66656,1,30,10
20,12,168,446,66656,1,33,10
21,12,174,440,66656,1,36,10
22,12,181,434,66656,1,37,10
22,12,181,434,66656,1,37,10
